,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.3615209579467773,0.0348655373867413,0.021602821350097657,0.0017128046968639603,1,100.0,rbf,"{'C': 1, 'gamma': 100, 'kernel': 'rbf'}",0.2784313725490196,0.2755905511811024,0.2755905511811024,0.2755905511811024,0.2795275590551181,0.27694611702948896,0.0016960249525237994,34
1,0.9845367431640625,0.01075367535492232,0.016540670394897462,0.00032490791714988185,1,10.0,rbf,"{'C': 1, 'gamma': 10, 'kernel': 'rbf'}",0.2980392156862745,0.2795275590551181,0.2755905511811024,0.2755905511811024,0.28346456692913385,0.2824424888065462,0.00832703364891986,29
2,0.7824292182922363,0.01674455362040433,0.01670374870300293,0.0006001777829073622,1,1.0,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.3764705882352941,0.3937007874015748,0.35826771653543305,0.3110236220472441,0.3937007874015748,0.3666327003242241,0.03073919080004185,20
3,0.4848167419433594,0.009750281732647316,0.016200923919677736,0.00039963973988672066,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.38823529411764707,0.41732283464566927,0.3700787401574803,0.3700787401574803,0.41338582677165353,0.39182028716998607,0.020365138517770397,9
4,0.3881072998046875,0.012891759677895425,0.015799188613891603,0.0007480483677554037,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.3607843137254902,0.35826771653543305,0.3543307086614173,0.4094488188976378,0.3661417322834646,0.36979465802068856,0.020193992945454195,13
5,0.3288522243499756,0.022657882733698065,0.016285085678100587,0.0004143778720359925,1,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.3607843137254902,0.38976377952755903,0.33070866141732286,0.4015748031496063,0.35039370078740156,0.366645051721476,0.025862876542779203,19
6,0.2641472816467285,0.0014616793378677718,0.01690359115600586,0.0004936833615986417,1,0.0001,rbf,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.2784313725490196,0.2755905511811024,0.2755905511811024,0.2755905511811024,0.2795275590551181,0.27694611702948896,0.0016960249525237994,34
7,0.26732912063598635,0.001288371466605862,0.016501903533935547,0.0004469771157194587,1,0.0001,rbf,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.2784313725490196,0.2755905511811024,0.2755905511811024,0.2755905511811024,0.2795275590551181,0.27694611702948896,0.0016960249525237994,34
8,2.065402364730835,0.05990180784919335,0.019901180267333986,0.000491472235272716,10,100.0,rbf,"{'C': 10, 'gamma': 100, 'kernel': 'rbf'}",0.2784313725490196,0.2755905511811024,0.2755905511811024,0.2755905511811024,0.2795275590551181,0.27694611702948896,0.0016960249525237994,34
9,1.3583949565887452,0.026244461875024782,0.01720085144042969,0.001165869275970123,10,10.0,rbf,"{'C': 10, 'gamma': 10, 'kernel': 'rbf'}",0.2980392156862745,0.2795275590551181,0.2755905511811024,0.2755905511811024,0.2795275590551181,0.28165508723174304,0.008379136143043557,30
10,1.0774491786956788,0.012495506333926586,0.016800880432128906,0.0011667935466102533,10,1.0,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.3411764705882353,0.3464566929133858,0.33858267716535434,0.29133858267716534,0.35826771653543305,0.3351644279759148,0.022933865743593188,25
11,0.9960274696350098,0.03156760864675638,0.015400075912475586,0.0008001208673897259,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.4235294117647059,0.3937007874015748,0.3779527559055118,0.38188976377952755,0.41338582677165353,0.3980917091245947,0.017710716606119784,7
12,0.5550333023071289,0.02691800881286813,0.015200662612915038,0.0007484435397186018,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.3686274509803922,0.421259842519685,0.39763779527559057,0.4015748031496063,0.38976377952755903,0.3957727342905666,0.017086304953027133,8
13,0.4363397121429443,0.020244866154955504,0.015802812576293946,0.00024183643492275365,10,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.3607843137254902,0.35039370078740156,0.3661417322834646,0.4094488188976378,0.35826771653543305,0.36900725644588545,0.020847782428771562,14
14,0.31442914009094236,0.0041245610846706105,0.016518783569335938,0.0006450931706888117,10,0.0001,rbf,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.3607843137254902,0.38976377952755903,0.33070866141732286,0.4015748031496063,0.3543307086614173,0.36743245329627916,0.025412117373227894,15
15,0.311829662322998,0.022277754800540978,0.015901708602905275,0.00019796224121830375,10,0.0001,rbf,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.3607843137254902,0.38976377952755903,0.33070866141732286,0.4015748031496063,0.3543307086614173,0.36743245329627916,0.025412117373227894,15
16,2.0375450611114503,0.06866890699830305,0.020600557327270508,0.0007994777558320551,100,100.0,rbf,"{'C': 100, 'gamma': 100, 'kernel': 'rbf'}",0.2784313725490196,0.2755905511811024,0.2755905511811024,0.2755905511811024,0.2795275590551181,0.27694611702948896,0.0016960249525237994,34
17,1.351227045059204,0.04252641396459916,0.017200946807861328,0.0004006640501763894,100,10.0,rbf,"{'C': 100, 'gamma': 10, 'kernel': 'rbf'}",0.2980392156862745,0.2795275590551181,0.2755905511811024,0.2755905511811024,0.2795275590551181,0.28165508723174304,0.008379136143043557,30
18,1.1008074283599854,0.0730149386304241,0.016301965713500975,0.00040160808473149875,100,1.0,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.3411764705882353,0.35039370078740156,0.3346456692913386,0.29133858267716534,0.35826771653543305,0.3351644279759148,0.02333585728327184,25
19,2.630028009414673,0.10652138874597684,0.014501285552978516,0.00044745557440530905,100,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.36470588235294116,0.36220472440944884,0.3661417322834646,0.32677165354330706,0.3779527559055118,0.35955534969893466,0.01726362011445348,21
20,1.0810275077819824,0.048178004289576554,0.015000009536743164,1.1680077279964342e-07,100,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.4196078431372549,0.40551181102362205,0.4094488188976378,0.40551181102362205,0.421259842519685,0.4122680253203644,0.006840562699545934,2
21,0.6452836513519287,0.023773329417873214,0.015701723098754884,0.0003996810375873824,100,0.001,rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.3568627450980392,0.41338582677165353,0.38188976377952755,0.40551181102362205,0.37401574803149606,0.38633317894086766,0.020686397446679192,12
22,0.4326475143432617,0.021352034051545118,0.01590142250061035,0.00019733907952607533,100,0.0001,rbf,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.3607843137254902,0.3464566929133858,0.36220472440944884,0.4094488188976378,0.35826771653543305,0.36743245329627916,0.021729596457136912,15
23,0.44164671897888186,0.022593832492348333,0.015802621841430664,0.00039984150569573465,100,0.0001,rbf,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.3607843137254902,0.3464566929133858,0.36220472440944884,0.4094488188976378,0.35826771653543305,0.36743245329627916,0.021729596457136912,15
24,2.0125595569610595,0.05125512643666517,0.023403310775756837,0.0031551575086345464,1000,100.0,rbf,"{'C': 1000, 'gamma': 100, 'kernel': 'rbf'}",0.2784313725490196,0.2755905511811024,0.2755905511811024,0.2755905511811024,0.2795275590551181,0.27694611702948896,0.0016960249525237994,34
25,1.3630525588989257,0.017501737861382066,0.01740131378173828,0.0004900982927564669,1000,10.0,rbf,"{'C': 1000, 'gamma': 10, 'kernel': 'rbf'}",0.2980392156862745,0.2795275590551181,0.2755905511811024,0.2755905511811024,0.2795275590551181,0.28165508723174304,0.008379136143043557,30
26,1.0882022380828857,0.025686654461254285,0.016501188278198242,0.00044724026092649857,1000,1.0,rbf,"{'C': 1000, 'gamma': 1, 'kernel': 'rbf'}",0.3411764705882353,0.35039370078740156,0.3346456692913386,0.29133858267716534,0.35826771653543305,0.3351644279759148,0.02333585728327184,25
27,4.106328105926513,0.16780388653936834,0.014603996276855468,0.0005839504174122936,1000,0.1,rbf,"{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}",0.3215686274509804,0.3425196850393701,0.33858267716535434,0.32677165354330706,0.3937007874015748,0.3446286861201174,0.025689348579870958,23
28,5.843792581558228,0.23237776598049634,0.014702129364013671,0.00039855986536907413,1000,0.01,rbf,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",0.42745098039215684,0.3700787401574803,0.3858267716535433,0.3937007874015748,0.42913385826771655,0.4012382275744944,0.023368843600432298,4
29,1.1170171260833741,0.044272885070095906,0.015399837493896484,0.0004899598350408929,1000,0.001,rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",0.39215686274509803,0.4409448818897638,0.4094488188976378,0.39763779527559057,0.4015748031496063,0.4083526323915393,0.017242424483264344,3
30,0.7689603328704834,0.07240932929551916,0.016800498962402342,0.0036548844036038085,1000,0.0001,rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",0.36470588235294116,0.4094488188976378,0.38188976377952755,0.41732283464566927,0.3661417322834646,0.38790180639184807,0.021806269855389037,10
31,0.7637145042419433,0.06399549411804728,0.015302467346191406,0.0004012871656622186,1000,0.0001,rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",0.36470588235294116,0.4094488188976378,0.38188976377952755,0.41732283464566927,0.3661417322834646,0.38790180639184807,0.021806269855389037,10
32,1.9792356014251709,0.052558359565956204,0.02250189781188965,0.004795027199541079,10000,100.0,rbf,"{'C': 10000, 'gamma': 100, 'kernel': 'rbf'}",0.2784313725490196,0.2755905511811024,0.2755905511811024,0.2755905511811024,0.2795275590551181,0.27694611702948896,0.0016960249525237994,34
33,1.3302274227142334,0.01429705600195006,0.017302417755126955,0.0007484671017159307,10000,10.0,rbf,"{'C': 10000, 'gamma': 10, 'kernel': 'rbf'}",0.2980392156862745,0.2795275590551181,0.2755905511811024,0.2755905511811024,0.2795275590551181,0.28165508723174304,0.008379136143043557,30
