,Spectral Centroid Overall Standard Deviation,Spectral Rolloff Point Overall Standard Deviation,Spectral Flux Overall Standard Deviation,Compactness Overall Standard Deviation,Spectral Variability Overall Standard Deviation,Root Mean Square Overall Standard Deviation,Fraction Of Low Energy Windows Overall Standard Deviation,Zero Crossings Overall Standard Deviation,MFCC Overall Standard Deviation 1,MFCC Overall Standard Deviation 2,MFCC Overall Standard Deviation 3,MFCC Overall Standard Deviation 4,MFCC Overall Standard Deviation 5,MFCC Overall Standard Deviation 6,MFCC Overall Standard Deviation 7,MFCC Overall Standard Deviation 8,MFCC Overall Standard Deviation 9,MFCC Overall Standard Deviation 10,MFCC Overall Standard Deviation 11,MFCC Overall Standard Deviation 12,MFCC Overall Standard Deviation 13,LPC Overall Standard Deviation 1,LPC Overall Standard Deviation 2,LPC Overall Standard Deviation 3,LPC Overall Standard Deviation 4,LPC Overall Standard Deviation 5,LPC Overall Standard Deviation 6,LPC Overall Standard Deviation 7,LPC Overall Standard Deviation 8,LPC Overall Standard Deviation 9,LPC Overall Standard Deviation 10,Method of Moments Overall Standard Deviation 1,Method of Moments Overall Standard Deviation 2,Method of Moments Overall Standard Deviation 3,Method of Moments Overall Standard Deviation 4,Method of Moments Overall Standard Deviation 5,Spectral Centroid Overall Average,Spectral Rolloff Point Overall Average,Spectral Flux Overall Average,Compactness Overall Average,Spectral Variability Overall Average,Root Mean Square Overall Average,Fraction Of Low Energy Windows Overall Average,Zero Crossings Overall Average,MFCC Overall Average 1,MFCC Overall Average 2,MFCC Overall Average 3,MFCC Overall Average 4,MFCC Overall Average 5,MFCC Overall Average 6,MFCC Overall Average 7,MFCC Overall Average 8,MFCC Overall Average 9,MFCC Overall Average 10,MFCC Overall Average 11,MFCC Overall Average 12,MFCC Overall Average 13,LPC Overall Average 1,LPC Overall Average 2,LPC Overall Average 3,LPC Overall Average 4,LPC Overall Average 5,LPC Overall Average 6,LPC Overall Average 7,LPC Overall Average 8,LPC Overall Average 9,LPC Overall Average 10,Method of Moments Overall Average 1,Method of Moments Overall Average 2,Method of Moments Overall Average 3,Method of Moments Overall Average 4,Method of Moments Overall Average 5,Chroma feature 0,Chroma feature 1,Chroma feature 2,Chroma feature 3,Chroma feature 4,Chroma feature 5,Chroma feature 6,Chroma feature 7,Chroma feature 8,Chroma feature 9,Chroma feature 10,Chroma feature 11
36,6.057,0.04457,0.0003109,284.3,0.0007977,0.02842,0.04499,17.31,81.54,4.805,2.586,2.402,1.977,2.067,2.459,1.723,2.373,2.576,2.061,1.607,2.542,0.08508,0.2365,0.1837,0.1386,0.1471,0.1412,0.116,0.1217,0.1084,0.0,0.04838,14.19,1306.0,121700.0,23000000.0,10.74,0.05637,0.0001571,1866.0,0.001576,0.06072,0.605,29.82,-142.1,14.1,4.899,0.5962,-1.403,-0.5686,2.384,1.805,-2.301,1.836,0.3036,-1.524,-1.706,-0.966,0.4452,-0.04203,0.0914,0.08088,0.1961,-0.008359,0.03319,0.08231,0.0,0.1151,31.55,2176.0,230600.0,40050000.0,0.48602447,0.4754795,0.5286668,0.5739703,0.6467468,0.607931,0.51989454,0.52890694,0.68341666,0.85141504,0.7385454,0.59478754
37,5.648,0.04093,0.0003426,223.8,0.0008103,0.03039,0.0417,17.45,67.32,3.715,2.424,1.963,1.972,2.241,2.079,1.611,1.84,1.985,1.795,1.587,2.155,0.06999,0.2363,0.1669,0.1148,0.1205,0.1461,0.105,0.1233,0.1031,0.0,0.05969,13.71,1287.0,116300.0,22770000.0,11.84,0.06394,0.0002248,1800.0,0.001753,0.06878,0.6049,33.63,-130.5,12.0,3.831,0.576,-0.9431,-0.1306,1.249,1.75,-1.528,0.5015,0.6081,-1.357,-1.883,-0.9637,0.4215,-0.01823,0.06701,0.06269,0.1269,0.02827,0.03508,0.04199,0.0,0.1466,37.06,2666.0,280900.0,49650000.0,0.483744,0.4757888,0.5146711,0.5524787,0.63811547,0.598705,0.5491334,0.56423753,0.6875308,0.8246016,0.7138294,0.5853387
38,5.978,0.04791,0.0004013,212.6,0.0009358,0.03457,0.03448,16.96,50.01,3.957,2.563,2.055,1.969,2.063,1.981,1.477,1.668,2.037,1.846,1.856,1.983,0.05516,0.2517,0.1903,0.1092,0.1253,0.1628,0.1259,0.128,0.09648,0.0,0.07449,12.35,1177.0,117100.0,22240000.0,13.39,0.08005,0.0002868,1794.0,0.002017,0.07933,0.5728,37.25,-123.3,12.47,0.8613,1.257,-0.5999,-1.535,0.8088,2.256,-1.236,-0.0177,-0.004027,-1.739,-1.387,-0.9627,0.5169,-0.02028,0.02588,0.008442,0.04522,-0.009817,0.04104,0.05579,0.0,0.1795,35.38,2274.0,241900.0,42330000.0,0.5106334,0.54875934,0.61212367,0.6101439,0.5970974,0.5734266,0.5794796,0.60244447,0.65462965,0.7506837,0.66273296,0.5917291
39,6.632,0.04557,0.0004344,201.1,0.0008947,0.03299,0.03829,13.49,51.23,3.664,2.299,1.874,2.063,1.978,1.861,1.51,1.525,1.813,1.792,1.741,1.545,0.06572,0.2261,0.1813,0.1342,0.1126,0.1451,0.09742,0.1068,0.09368,0.0,0.0685,10.82,980.1,100100.0,19060000.0,11.95,0.06648,0.000332,1740.0,0.002248,0.08827,0.597,32.77,-120.7,12.03,1.255,1.124,-0.08802,-0.3346,1.231,1.199,-1.531,-0.5961,-0.1833,-1.523,-1.06,-0.9686,0.4928,0.03251,0.05588,0.002539,0.009111,0.03652,0.03817,0.04142,0.0,0.1952,36.09,2487.0,278600.0,49560000.0,0.46665972,0.5842783,0.62503624,0.60266215,0.60163385,0.62914234,0.6880949,0.7373646,0.7166294,0.7111212,0.59968555,0.49691513
40,15.87,0.1499,0.0008761,272.9,0.001161,0.04359,0.05197,35.36,82.81,4.468,3.554,2.187,2.579,2.02,2.266,1.638,2.134,2.407,1.868,1.731,2.312,0.1534,0.3389,0.219,0.1575,0.1414,0.1617,0.1397,0.1115,0.1072,0.0,0.1022,23.67,1672.0,130400.0,21830000.0,15.32,0.09654,0.0004692,1760.0,0.002003,0.07848,0.5768,40.27,-133.2,11.93,4.224,0.259,-0.3478,-0.7688,1.494,1.292,-1.44,1.003,0.3755,-1.631,-1.605,-0.9339,0.3935,-0.05283,0.06504,0.08912,0.1267,-0.01665,0.04345,0.08697,0.0,0.1713,40.63,2831.0,256100.0,50990000.0,0.48005748,0.46026126,0.5020268,0.55047625,0.6172482,0.58193403,0.5101633,0.5224223,0.6608415,0.7959971,0.69506454,0.5762231
41,18.01,0.1222,0.001197,211.6,0.001278,0.04906,0.04167,35.53,68.35,3.865,3.144,2.347,2.402,2.01,2.206,1.637,1.901,1.944,1.63,1.758,2.046,0.1589,0.2807,0.1921,0.1675,0.1419,0.1671,0.112,0.1182,0.09593,0.0,0.1195,19.27,1326.0,128100.0,21360000.0,15.78,0.0911,0.0006783,1729.0,0.002403,0.09516,0.5876,41.07,-122.0,10.83,2.63,-0.1093,-0.1359,-0.4036,1.037,1.251,-1.234,0.1882,0.5753,-1.692,-1.614,-0.9405,0.4369,-0.01864,0.06125,0.07049,0.06703,0.02027,0.0243,0.0524,0.0,0.2181,41.62,2889.0,288100.0,54240000.0,0.46025506,0.42017424,0.43499213,0.47056952,0.5600184,0.53406197,0.492573,0.5292844,0.64306223,0.79208064,0.6844679,0.5627606
42,18.65,0.1589,0.001768,203.4,0.001311,0.04866,0.04528,38.47,50.88,4.907,3.761,2.433,3.374,2.195,1.939,1.962,1.876,1.989,1.913,2.184,1.843,0.1586,0.3084,0.2402,0.215,0.1433,0.1755,0.142,0.1579,0.1095,0.0,0.1245,20.68,1429.0,117000.0,20830000.0,21.04,0.1381,0.001189,1721.0,0.003071,0.1225,0.5339,52.66,-110.2,8.758,1.412,0.3629,-0.2903,-1.227,0.2015,0.974,-0.5812,-1.15,0.1874,-2.192,-1.166,-0.9137,0.4771,-0.06944,0.01688,0.04764,-0.03087,0.00557,0.0858,0.06294,0.0,0.3074,46.77,2984.0,272900.0,52900000.0,0.5125874,0.5032796,0.53815526,0.54514164,0.50182956,0.4777442,0.46419787,0.47065306,0.50590223,0.6057281,0.5829645,0.57895315
43,7.886,0.08968,0.001003,203.1,0.001155,0.044,0.03495,19.96,50.42,3.457,2.748,2.499,2.926,2.111,1.831,1.677,2.174,2.011,1.886,1.924,1.712,0.07015,0.2394,0.2351,0.1992,0.1215,0.1733,0.1409,0.1528,0.1127,0.0,0.1113,12.64,1023.0,86360.0,16410000.0,15.55,0.09907,0.0007357,1701.0,0.002715,0.1079,0.5653,42.51,-113.4,9.503,1.923,0.4736,-0.3091,0.1189,0.5425,0.8446,-0.7948,-1.594,0.01254,-2.055,-0.8139,-0.9491,0.4608,-0.1036,0.08937,0.03129,-0.04374,0.05036,0.09344,0.05014,0.0,0.2636,42.6,2850.0,284700.0,51550000.0,0.5080346,0.623928,0.61114997,0.5442826,0.52505517,0.5281726,0.58313143,0.6288679,0.6667562,0.6590153,0.55932766,0.4963036
44,44.26,0.2475,0.0007766,823.3,0.001243,0.04756,0.3221,85.5,501.6,7.371,5.082,3.02,3.228,2.162,2.157,1.847,2.345,2.686,2.076,2.49,2.436,0.4893,0.3429,0.1904,0.1509,0.1188,0.1357,0.1193,0.1091,0.08088,0.0,0.09853,45.18,1986.0,172600.0,31140000.0,20.93,0.1215,0.000288,756.6,0.0007523,0.02983,0.3636,43.36,-682.3,1.682,-0.3532,-0.2279,0.417,-0.9718,-0.872,-0.4057,-0.5488,-1.097,-0.6265,-0.9961,-0.9045,-0.3322,0.2156,0.002536,-0.01652,0.0241,-0.01278,-0.02358,0.03292,0.02522,0.0,0.06431,30.78,1518.0,93790.0,25200000.0,0.19354591,0.18376544,0.19720054,0.22678629,0.23241115,0.21937051,0.20974655,0.23016891,0.25533548,0.24474913,0.22858751,0.21816379
45,38.66,0.2078,0.001127,834.7,0.001564,0.0599,0.2424,70.66,482.4,9.485,5.149,4.608,3.483,2.263,2.18,2.186,2.211,2.584,2.042,3.197,2.745,0.4985,0.373,0.2479,0.2478,0.179,0.1658,0.1228,0.09765,0.1059,0.0,0.1256,39.76,1808.0,174900.0,31310000.0,21.73,0.119,0.0004034,1008.0,0.001082,0.04219,0.5856,42.15,-544.8,4.041,-2.408,-1.534,0.7714,-1.015,-0.8227,-0.1828,-0.7272,-1.228,-0.5014,-1.93,-1.504,-0.5016,0.3542,0.04834,0.06818,0.02376,-0.0123,-0.00849,0.0343,0.02718,0.0,0.08554,33.06,1621.0,131300.0,28170000.0,0.257996,0.20566094,0.19198202,0.23408806,0.28666672,0.27738458,0.25819963,0.27107435,0.31458914,0.38146505,0.3397677,0.30119193
