,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.3939433574676514,0.05390972653822258,0.02240123748779297,0.004840634620086464,1,100.0,rbf,"{'C': 1, 'gamma': 100, 'kernel': 'rbf'}",0.23529411764705882,0.2755905511811024,0.2755905511811024,0.23622047244094488,0.2795275590551181,0.2604446503010653,0.0202104632269046,34
1,0.8870898723602295,0.01859973516327199,0.01620020866394043,0.0003998756977302334,1,10.0,rbf,"{'C': 1, 'gamma': 10, 'kernel': 'rbf'}",0.23529411764705882,0.2795275590551181,0.2755905511811024,0.2755905511811024,0.2755905511811024,0.26831866604909677,0.01658252706735758,30
2,0.6885379791259766,0.01298349563035238,0.01600484848022461,0.00031502171702328864,1,1.0,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.3803921568627451,0.35826771653543305,0.3543307086614173,0.3188976377952756,0.38976377952755903,0.360330399876486,0.0245996856157949,1
3,0.48655071258544924,0.011160053273837189,0.016286849975585938,0.0009833676191073253,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.3137254901960784,0.3661417322834646,0.3937007874015748,0.35039370078740156,0.35039370078740156,0.3548710822911842,0.025953139268019374,3
4,0.441965389251709,0.003108393448839561,0.016723108291625977,0.0006022182112663904,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.23921568627450981,0.2677165354330709,0.2795275590551181,0.24015748031496062,0.30708661417322836,0.2667407750501775,0.025520747477864855,31
5,0.4801168441772461,0.011882373599394829,0.018520212173461913,0.003250228211719232,1,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.13725490196078433,0.18110236220472442,0.11023622047244094,0.11023622047244094,0.2992125984251969,0.1676084607071175,0.0707194752098802,38
6,0.4656996726989746,0.005372162065479703,0.017201662063598633,0.0009813702828414639,1,0.0001,rbf,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.23529411764705882,0.1377952755905512,0.09448818897637795,0.1377952755905512,0.1377952755905512,0.14863362667901808,0.046463272983686736,39
7,0.4737070083618164,0.008016334692999727,0.017010021209716796,0.000553084823711201,1,0.0001,rbf,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.23529411764705882,0.1377952755905512,0.09448818897637795,0.1377952755905512,0.1377952755905512,0.14863362667901808,0.046463272983686736,39
8,1.9154932022094726,0.05854621796996884,0.0229062557220459,0.003986526092179128,10,100.0,rbf,"{'C': 10, 'gamma': 100, 'kernel': 'rbf'}",0.2784313725490196,0.2755905511811024,0.2755905511811024,0.2755905511811024,0.2795275590551181,0.27694611702948896,0.0016960249525237994,26
9,1.145429515838623,0.02016825132875283,0.016800832748413087,0.0007487622139685339,10,10.0,rbf,"{'C': 10, 'gamma': 10, 'kernel': 'rbf'}",0.2980392156862745,0.2795275590551181,0.2755905511811024,0.2755905511811024,0.2795275590551181,0.28165508723174304,0.008379136143043557,22
