,Principal component 0,Spectral Centroid Overall Standard Deviation,Spectral Rolloff Point Overall Standard Deviation,Spectral Flux Overall Standard Deviation,Compactness Overall Standard Deviation,Spectral Variability Overall Standard Deviation,Root Mean Square Overall Standard Deviation,Fraction Of Low Energy Windows Overall Standard Deviation,Zero Crossings Overall Standard Deviation,Strongest Beat Overall Standard Deviation,Beat Sum Overall Standard Deviation,Strength Of Strongest Beat Overall Standard Deviation,Strongest Frequency Via Zero Crossings Overall Standard Deviation,Strongest Frequency Via Spectral Centroid Overall Standard Deviation,Strongest Frequency Via FFT Maximum Overall Standard Deviation,MFCC Overall Standard Deviation 1,MFCC Overall Standard Deviation 2,MFCC Overall Standard Deviation 3,MFCC Overall Standard Deviation 4,MFCC Overall Standard Deviation 5,MFCC Overall Standard Deviation 6,MFCC Overall Standard Deviation 7,MFCC Overall Standard Deviation 8,MFCC Overall Standard Deviation 9,MFCC Overall Standard Deviation 10,MFCC Overall Standard Deviation 11,MFCC Overall Standard Deviation 12,MFCC Overall Standard Deviation 13,LPC Overall Standard Deviation 1,LPC Overall Standard Deviation 2,LPC Overall Standard Deviation 3,LPC Overall Standard Deviation 4,LPC Overall Standard Deviation 5,LPC Overall Standard Deviation 6,LPC Overall Standard Deviation 7,LPC Overall Standard Deviation 8,LPC Overall Standard Deviation 9,LPC Overall Standard Deviation 10,Method of Moments Overall Standard Deviation 1,Method of Moments Overall Standard Deviation 2,Method of Moments Overall Standard Deviation 3,Method of Moments Overall Standard Deviation 4,Method of Moments Overall Standard Deviation 5,Peak Based Spectral Smoothness Overall Standard Deviation,Relative Difference Function Overall Standard Deviation,Area Method of Moments Overall Standard Deviation 1,Area Method of Moments Overall Standard Deviation 2,Area Method of Moments Overall Standard Deviation 3,Area Method of Moments Overall Standard Deviation 4,Area Method of Moments Overall Standard Deviation 5,Area Method of Moments Overall Standard Deviation 6,Area Method of Moments Overall Standard Deviation 7,Area Method of Moments Overall Standard Deviation 8,Area Method of Moments Overall Standard Deviation 9,Area Method of Moments Overall Standard Deviation 10,Spectral Centroid Overall Average,Spectral Rolloff Point Overall Average,Spectral Flux Overall Average,Compactness Overall Average,Spectral Variability Overall Average,Root Mean Square Overall Average,Fraction Of Low Energy Windows Overall Average,Zero Crossings Overall Average,Strongest Beat Overall Average,Beat Sum Overall Average,Strength Of Strongest Beat Overall Average,Strongest Frequency Via Zero Crossings Overall Average,Strongest Frequency Via Spectral Centroid Overall Average,Strongest Frequency Via FFT Maximum Overall Average,MFCC Overall Average 1,MFCC Overall Average 2,MFCC Overall Average 3,MFCC Overall Average 4,MFCC Overall Average 5,MFCC Overall Average 6,MFCC Overall Average 7,MFCC Overall Average 8,MFCC Overall Average 9,MFCC Overall Average 10,MFCC Overall Average 11,MFCC Overall Average 12,MFCC Overall Average 13,LPC Overall Average 1,LPC Overall Average 2,LPC Overall Average 3,LPC Overall Average 4,LPC Overall Average 5,LPC Overall Average 6,LPC Overall Average 7,LPC Overall Average 8,LPC Overall Average 9,LPC Overall Average 10,Method of Moments Overall Average 1,Method of Moments Overall Average 2,Method of Moments Overall Average 3,Method of Moments Overall Average 4,Method of Moments Overall Average 5,Peak Based Spectral Smoothness Overall Average,Relative Difference Function Overall Average,Area Method of Moments Overall Average 1,Area Method of Moments Overall Average 2,Area Method of Moments Overall Average 3,Area Method of Moments Overall Average 4,Area Method of Moments Overall Average 5,Area Method of Moments Overall Average 6,Area Method of Moments Overall Average 7,Area Method of Moments Overall Average 8,Area Method of Moments Overall Average 9,Area Method of Moments Overall Average 10,Chroma feature 0,Chroma feature 1,Chroma feature 2,Chroma feature 3,Chroma feature 4,Chroma feature 5,Chroma feature 6,Chroma feature 7,Chroma feature 8,Chroma feature 9,Chroma feature 10,Chroma feature 11
MFCC Overall Standard Deviation 13,-0.2179776618410129,0.7303559369169587,0.6470609516089358,0.5317103779325286,0.7400983309807831,0.6992888885362675,0.7009707782284911,0.37129035610113303,0.7835684377206973,0.5833206229469108,0.6709992633654874,0.1962737521664943,0.7756085286124403,0.7288235193126027,0.742480599552675,0.6997621471137653,0.8619376453452349,0.9138371026729397,0.9320002954068398,0.9450630574941011,0.9335037218053907,0.9318528969294908,0.9409971142048749,0.9496053051582306,0.9438747787460015,0.943590835205961,0.9653854684638196,1.0,0.7674041645837346,0.9006180231750484,0.947202272020292,0.9310116095262367,0.9332740230685591,0.9167822330750633,0.9038239919729998,0.9128961942530597,0.9149675043573442,,0.6730349112723675,0.7504130416928004,0.739452846943822,0.7325631031607036,0.7117165916643352,0.7624672275546368,0.5940445335971161,0.6823994668784866,0.5493247744034653,0.5695251450824627,0.6309267259884553,0.6347965235028682,0.6381092754076403,0.652585233686568,0.638078702789268,0.6409661665671603,0.656567316334347,0.868253133819409,0.7702860149423052,0.5496449813132095,0.9075797498126307,0.6304987281531897,0.6359780515671904,0.7753299877428349,0.8888090129951103,-0.29518577684913117,0.6780548790369016,0.17292235232221262,0.8844182161966735,0.8525976618950387,0.8629641641821122,,0.4655913783264157,0.06893182198528587,-0.07963598747419888,-0.21823652386195122,-0.10535007300597271,-0.15209544237317268,0.01346023151105762,0.026264747189312147,0.13613057993818328,-0.12652218002484283,-0.14815464408697412,-0.26733962901694364,-0.770186630134573,0.8626974319180014,-0.3168383864073612,0.6869802247169103,0.7498111776929978,0.2570457620195329,0.16751200613325318,0.7029117166156778,0.724452833633834,,0.6389993731898129,0.9081074068237246,0.8562799574000497,0.8091319740928179,0.766407626165359,0.8126236767606466,,0.6609647730155034,0.7563889384566497,0.7468078724009545,,,,0.7065108099557761,0.7144706965922222,0.7125682347826013,0.7035634102654815,0.691709255595014,0.7035600087288139,0.6849881193134228,0.6818169721493078,0.70863359627992,0.7075047409072678,0.7146740711402424,0.7170097477234199,0.7261141160155662,0.7240405573755209,0.7245785017582902,0.7079207511195723
LPC Overall Standard Deviation 1,-0.27494924650212854,0.7584698542380928,0.5913604609144412,0.10527262286995427,0.862872234562326,0.23775083396390054,0.24137392283194087,0.6611081132567151,0.7725855497336903,0.6879806005073075,0.19028260345878,0.31991579365311723,0.8050206236638563,0.7867334923023372,0.7854407515078444,0.8589306284632717,0.8673777996933317,0.8419387683385199,0.8435818154695789,0.8090249449391345,0.8326667466733418,0.812934406577725,0.7949857533150343,0.791254168816646,0.7711387728168738,0.7357187697669191,0.7586251918751229,0.7674041645837346,1.0,0.9121713096701013,0.7732968571137201,0.709013240839035,0.6832261195620635,0.641844285803043,0.612276057492255,0.6275512877757713,0.6694858741951643,,0.24457136258027307,0.8210554583700802,0.8180906904796682,0.8198740245429889,0.7975030368086129,0.7582555276984139,0.868869147366236,0.2573144926360399,0.7840245440163419,0.7852759437778646,0.7830776303372522,0.782439108161673,0.7818440099414786,0.7790596627900065,0.7818497817760891,0.7812960587766199,0.7779921405689811,0.7061570332320845,0.4618351383186035,0.10967385460582149,0.8814935877506829,0.1506117786254412,0.15430868635904818,0.7720598720667801,0.7081046900514288,-0.425282201790282,0.1708680981061395,0.2647806257584201,0.8078966128441727,0.8124885665605245,0.7129921833067042,,0.5687509655273305,0.13372382798336413,-0.05144985315033792,-0.2829200895412893,-0.3214796403816479,-0.3122975180606042,-0.2694345558701703,-0.15850928495840302,-0.17470970492648177,-0.22933381618899426,-0.3071137694068318,-0.3424636669763787,-0.289273882965241,0.4674182366806846,0.08098145415357187,0.3852785071094291,0.3572209405619439,0.35394686135914055,0.21533005298200328,0.29189727727837356,0.27635878006936465,,0.16940804527829706,0.7813582433198454,0.8616682395064095,0.8434666686580922,0.8263326847773336,0.6669688062058999,,0.1831558487051437,0.8123205112647299,0.8069255203358952,,,,0.7831119930968408,0.7879476482021162,0.7867968146156087,0.781304945896531,0.5569357115606915,0.5655077269342407,0.6012439550993353,0.6362432184684921,0.6511485774329983,0.6417791256671767,0.6321571480845274,0.6247959935012818,0.6497394177876196,0.6302183180249414,0.6246683748755008,0.607166216322789
LPC Overall Standard Deviation 2,-0.26264165644169557,0.8162377187951608,0.6968123109315368,0.35831475934057594,0.8435936319444179,0.5062085118960352,0.5085466102401124,0.5445022275444168,0.8646452807714128,0.6999853853820589,0.44901142795180116,0.2813967074449424,0.8606961952433876,0.8141831993390797,0.8304047910518648,0.8190718670755948,0.9265244472501297,0.9340544188943404,0.9369776801292019,0.9159553113060925,0.9219540789074373,0.9181081777624616,0.9055464084822744,0.9145345132336997,0.8962079466518481,0.8861222950620048,0.9020415004953055,0.9006180231750484,0.9121713096701013,1.0,0.9144236867250717,0.8640154571555596,0.857066963106447,0.8317463390604763,0.8014095247767075,0.8141634774310292,0.8395013102844638,,0.48395326474660455,0.8400870654092067,0.81615855101746,0.8091373232312975,0.7905733486259474,0.8214612679744896,0.7658177585498237,0.4937440089840576,0.6999383696885682,0.711374796614227,0.7429606835996879,0.7446978066169945,0.7461592985738832,0.752427898275176,0.7461427759090469,0.7473987353783687,0.754003154396787,0.855776493655967,0.6625611594762165,0.3557517989904016,0.9413279509184648,0.4187001658153838,0.4228176071640874,0.8177074030673385,0.8752909462053512,-0.38039427322898306,0.4476297142603007,0.21407165193223898,0.9207386403715473,0.8954734259814044,0.8675776607205825,,0.5333243492217615,0.10073766167196883,-0.0872578175940897,-0.2643101455336726,-0.21781364538632664,-0.24693422913515678,-0.16310027573733918,-0.07256579050045864,-0.03681095042472445,-0.20350259238009596,-0.20668248332202058,-0.28593209945433773,-0.5520308319207206,0.7055268437566763,-0.08477065713521247,0.5278362453171573,0.5722125867413856,0.38243470953663494,0.23054903555428974,0.5099401080756928,0.4982294271876443,,0.42295589763034624,0.8965220791942631,0.8966776388190836,0.841249453316261,0.8333458967638947,0.8009330966479191,,0.4410504020901689,0.8237180453409199,0.8159965350175861,,,,0.7828972018909935,0.7895084596743955,0.7879308239146042,0.7804401809088205,0.6410215984326412,0.6404409339578542,0.6551516650606041,0.6711280397859031,0.7000608079610368,0.7002052239523165,0.6977381493218354,0.6912031185626425,0.7079016043897763,0.6987833557482951,0.6974452659092757,0.6793625944650254
LPC Overall Standard Deviation 3,-0.17927669648764086,0.7595876579139924,0.7152716978751515,0.5161494733202937,0.7372401158154656,0.688638883933706,0.6923183013829092,0.3601805275795903,0.8148965970904187,0.5978019525516757,0.6533626010014096,0.20948743897536123,0.7915499653590686,0.7398307633038311,0.757133332294799,0.6972672731451697,0.8889404123210748,0.925874022950964,0.9183850597132963,0.9354431613742014,0.9179798868390936,0.928575525035588,0.9432694690343559,0.9478433624485278,0.94582090336804,0.9528119072057475,0.9515443684585945,0.947202272020292,0.7732968571137201,0.9144236867250717,1.0,0.9647632392488406,0.9726088247168815,0.9588363836795306,0.9350759561898209,0.9460274696054646,0.9481189845981259,,0.6762863177275311,0.7663138514081046,0.7395819361134359,0.7278072638818803,0.7068880751079285,0.7882831339856577,0.591548999785791,0.6893032260603698,0.5439340637783586,0.5640163725369206,0.6246882167235998,0.628537685966267,0.6318360174221882,0.6461116337258748,0.6317785565856909,0.6346550735401504,0.6500765330162263,0.9154534841071912,0.8345979087407701,0.5239350291799331,0.9157054440196183,0.6050420939707528,0.6125761389782671,0.77724727056245,0.9335538651569836,-0.30689108270134996,0.6699216859754804,0.16961081072709108,0.9119593772579822,0.8760841033939442,0.9076629387076495,,0.4637339834864936,0.130725978533172,0.01991290095833546,-0.19281406490151626,-0.08843881332897738,-0.13472169997826908,-0.0011768608761098804,-0.006490408459894225,0.09900372999108062,-0.1985667228504926,-0.1403960826064313,-0.19601929381966282,-0.7780776865287531,0.8789210220368057,-0.36089962714347684,0.7123015890735818,0.7807618707692298,0.304948291575158,0.2140557547560376,0.7380441905405064,0.7342822416491349,,0.6259557267474918,0.9433607889665383,0.8658450946675577,0.7862470544817775,0.7643064785720651,0.8674840084265528,,0.6525438814716272,0.7542028228585799,0.7439653447517428,,,,0.7010678614671462,0.709522535576713,0.7075007317416084,0.697938718239046,0.7076665224697993,0.7313917491515706,0.7243350976656135,0.7161259799821217,0.7430204966269175,0.7388227596650057,0.7336081075176702,0.7277419232499613,0.7233553624927004,0.7104644869570468,0.7118909300856265,0.7114324126688808
LPC Overall Standard Deviation 4,-0.15650845200705232,0.7439108905306753,0.732702092096635,0.5188512139198868,0.6897842811142041,0.7125173906692202,0.7168573712566556,0.3112743567692547,0.798869090674948,0.5500026149606906,0.701837381999342,0.18860875571532737,0.7627816117241322,0.7099609513816453,0.730896364638437,0.6478968354191633,0.8455928513352736,0.905251707886243,0.896124916189236,0.9058814832058174,0.8934030780261121,0.9018575901182154,0.9135325039171313,0.9170999722673191,0.919665672146257,0.9398677298049486,0.9284824507491074,0.9310116095262367,0.709013240839035,0.8640154571555596,0.9647632392488406,1.0,0.9804934837179076,0.9709250154785906,0.9579098714171413,0.9606360754661585,0.9596331865932871,,0.7106693544308065,0.7353559694404824,0.6982372230673799,0.6821046595996962,0.6636661469183651,0.777519081887628,0.534297421926821,0.7275110655690539,0.49146242071913165,0.5128420927092526,0.5778911278306736,0.5820925425581372,0.5856972890842673,0.6012447975908772,0.5856206523901318,0.5887697195337163,0.6056200660534129,0.9220925903717699,0.869939129221691,0.5408788025200143,0.8800474440468117,0.6345610073322369,0.6426987530063255,0.7426296705283312,0.9386811389891395,-0.26619596729034684,0.7047971316475492,0.15566586198987095,0.8944509817925496,0.8566531355530952,0.91180534780079,,0.3856622754088843,0.12778632202493928,0.031701411777046974,-0.17056017884505714,-0.05364748654183015,-0.10446334753247603,0.03216442938071263,-0.04780444374379316,0.10901322115477564,-0.1734622125717774,-0.16785946584562558,-0.17014203519542243,-0.7948712537700305,0.8877701793798647,-0.44563084201715897,0.7583386824955424,0.7944870019497801,0.198047209312798,0.1462755735776804,0.7315895874666601,0.7520454808286209,,0.6661482335751892,0.9361077197035217,0.8325589520337323,0.7362963849075356,0.722790524897328,0.8834111611569636,,0.692099754206207,0.7141462734831762,0.703652141504656,,,,0.6598521990510688,0.6684648050262455,0.6664045336095089,0.6566674154313833,0.6956836705853896,0.7275688350372359,0.7113233970914064,0.6897967470632564,0.6961089516738064,0.6878215815327462,0.6844748181978009,0.6835592679072262,0.6863913510811136,0.6891912365940343,0.6912233898737412,0.6923977381432503
LPC Overall Standard Deviation 5,-0.1453084112946109,0.7422569459886978,0.7262583055063367,0.5691115523311691,0.6837871653517578,0.748993581113893,0.7528697275370307,0.2950423457081391,0.7984357940183989,0.547141731931397,0.7351258175634541,0.18012761955811318,0.7628161356007198,0.7097072362353649,0.7290879488300899,0.6402339826803811,0.8384302183675928,0.8954253045569343,0.8845360360518797,0.9096316590477646,0.8871839747242347,0.9033662039211166,0.9176953736590286,0.9267012252394197,0.9287852637572916,0.9424084939479073,0.9395967376158436,0.9332740230685591,0.6832261195620635,0.857066963106447,0.9726088247168815,0.9804934837179076,1.0,0.9827619852824524,0.9659187355143675,0.9727504318206047,0.9699967381589686,,0.742550782659342,0.7334622861601294,0.6974155761669618,0.680887541959241,0.6631147804188667,0.7793825876893469,0.5184303384186105,0.7561590236353316,0.4823439668592611,0.5048571991508539,0.5742464718709499,0.5787103042540724,0.5825405005650728,0.5992820270790724,0.5824970112231469,0.585842148011058,0.6039460700674865,0.9269854163302187,0.8802913203104294,0.5940117322876212,0.8790480059183563,0.6828160701151179,0.6906037215089581,0.7454004300341823,0.9435403909369529,-0.2733588190640463,0.7499943264511628,0.15858348636043235,0.8974748608247993,0.8593968500345609,0.9138567774214648,,0.37038578974015485,0.11520707774538907,0.034535307707149514,-0.1591505928087191,-0.03272226976727446,-0.09872595298643334,0.04994352459845677,0.010720540124477092,0.14435901584006158,-0.16668168926273522,-0.12197173832852888,-0.16862717660392582,-0.8289973085187229,0.9121187239817135,-0.46302084259792053,0.7617961218662175,0.8242601935717037,0.2061398851769572,0.14987052937664738,0.7659658854861552,0.7792117584593599,,0.7085841137837281,0.9412599578317399,0.8337517728672905,0.7412932064264605,0.7230605114939636,0.8886620879202457,,0.7339751158996521,0.715028826829851,0.7045151456470887,,,,0.6606329151652833,0.6692614638551613,0.6671974425866367,0.6574423532806865,0.7104051942278568,0.7343636146611948,0.7160213287337689,0.6994383716217192,0.7146293258840707,0.7104573059495943,0.7080582818905614,0.7032838905192679,0.6963426143310063,0.6948133307730125,0.7003774801917129,0.7019643504027147
LPC Overall Standard Deviation 6,-0.10886684848321077,0.7200075179663982,0.7239507849702334,0.5759128185550707,0.6429197418472505,0.7529056976743331,0.7558184400406365,0.25379336318415135,0.7757388493786872,0.5280755621500406,0.7358872885321377,0.16366044583480613,0.7329658400785225,0.6795127992210575,0.700165226292513,0.5973711641783457,0.8023773486357273,0.8752763337690485,0.8644759983686386,0.8934256953514044,0.8685661059980126,0.8845593200991909,0.9034554986146521,0.9159870957039526,0.9143811633842702,0.9311332963684443,0.9248429753532685,0.9167822330750633,0.641844285803043,0.8317463390604763,0.9588363836795306,0.9709250154785906,0.9827619852824524,1.0,0.9778237610968623,0.9757434642388082,0.9716062026648635,,0.7340196809618122,0.7029221005303726,0.662754878146742,0.6451304025356369,0.6270119998111758,0.7547129279736954,0.4667642409556211,0.7478800340578108,0.4354243231566001,0.4592106146998061,0.5327762337282899,0.5375787978850874,0.541706130583363,0.5596451018897598,0.5416356438096833,0.5452451586238327,0.5647037189050036,0.9161391325679882,0.8858161615518866,0.5870392410306331,0.8479249999443175,0.6806802867556007,0.6882497551715997,0.7167536745821103,0.9327699310194338,-0.2617420061636591,0.7551235746894542,0.14061432860953785,0.8736380380644004,0.8338691881654717,0.901355318725304,,0.3320984293061647,0.09586114529253291,0.043855212828022794,-0.12204271778760428,-0.005403333635827389,-0.0762810765750679,0.07519218741954822,0.0056083145049182145,0.16702879185850725,-0.16976219251013472,-0.07776511700234903,-0.14559369166713107,-0.8405941236388785,0.9126156676264563,-0.4706973540049984,0.7549386903610207,0.8309171073253131,0.2191065159669153,0.12886835147039657,0.7718106672130612,0.7923839758346325,,0.6988475389624083,0.9237480534153043,0.8021802787796275,0.7109239456312031,0.6873852971001096,0.8754444442058527,,0.72751930792817,0.6792963070195063,0.6686304791693908,,,,0.6242452095575936,0.6329569213636528,0.6308726205003127,0.6210262636441519,0.7029490457163932,0.7189529072424622,0.6981377539013254,0.6771198102077834,0.701961007673309,0.7009193542651901,0.694668394070499,0.6878517340389131,0.6785774292863244,0.6768369787021525,0.6837450992294926,0.6905200994115813
LPC Overall Standard Deviation 7,-0.11064633501203365,0.7099619989289706,0.7181916410165288,0.5445854221350939,0.626639011152199,0.7300176388185153,0.7333833020791858,0.23535694054979758,0.7631797287735498,0.5135867991511164,0.7323438416905158,0.16197598849839434,0.7201251312259446,0.668229335506934,0.6886454209023094,0.5801389162725354,0.7732532835013236,0.8587493498957282,0.8497685358564111,0.8809714652803843,0.8548704888410632,0.8711757056002003,0.8834797797302201,0.8971101566793251,0.9018653755258251,0.9119503320440195,0.9086047928155891,0.9038239919729998,0.612276057492255,0.8014095247767075,0.9350759561898209,0.9579098714171413,0.9659187355143675,0.9778237610968623,1.0,0.9832732722393998,0.972852243138446,,0.7201031029189127,0.6891273376718389,0.6491379672644677,0.6310669620554904,0.6139110272298256,0.7430448173039277,0.4470446216824666,0.7361921842947339,0.4209177867187568,0.4451549294512631,0.5196112435709609,0.5245379021598731,0.5287752446295371,0.5469555954964699,0.5286653567082452,0.532374558376197,0.5521642872687924,0.9090699024417385,0.8941875674804461,0.5597644860356481,0.831739364243838,0.6629953896368251,0.6715098556639616,0.7085289199790604,0.9225085852858699,-0.25873182300118563,0.7514922224521823,0.13707661617845832,0.860713140724761,0.8227463591070545,0.8922947810982824,,0.28723522476438135,0.07686096439507861,0.01823951991282138,-0.11992953408822798,0.03986705759290657,-0.04712645050335853,0.1092778070418462,0.05498094894190476,0.1585624111066795,-0.13681344493893668,-0.06971195078359715,-0.12448877579415353,-0.8393935148528707,0.9071000675563872,-0.5234384273471719,0.7726939812669584,0.8239471917918425,0.16205081310111827,0.10179864428973497,0.7739192061548403,0.8000472617303406,,0.6937895121350608,0.9132904431724288,0.7879827090722353,0.6966572426772676,0.6735284660808754,0.870213240769305,,0.7232402860349135,0.6666006757955377,0.6560429283115966,,,,0.6121209841522288,0.6207404358168966,0.6186786772955473,0.6089376134383367,0.7061049392593474,0.7189718749982613,0.6900751676959137,0.6650792406098244,0.691897999029911,0.6889929885606138,0.6770987873294327,0.6716098117497765,0.6632256258021533,0.667584067773445,0.6805604189820222,0.692894507828581
LPC Overall Standard Deviation 8,-0.126140263514007,0.7181708789943628,0.7133065317784568,0.5581194820393776,0.6439356448036266,0.7402847139324912,0.743534729617139,0.2572993936784292,0.7703239368087946,0.5114145648910547,0.742954758096466,0.16140595779412345,0.7322565468665557,0.681744442490145,0.7018874785860102,0.5974676357880487,0.7837173836579594,0.8726626194101016,0.8618112391646761,0.8941805277652441,0.8650622032555774,0.8801856241459951,0.8901998519430275,0.9089797591103635,0.9140607686847393,0.9259880106431547,0.9191723054457694,0.9128961942530597,0.6275512877757713,0.8141634774310292,0.9460274696054646,0.9606360754661585,0.9727504318206047,0.9757434642388082,0.9832732722393998,1.0,0.9831343290340959,,0.733786751684546,0.7012745332595177,0.6652730100412683,0.6483607565140282,0.6310838196040139,0.7561435595143648,0.46405476613421587,0.7488859753034487,0.4396445938573922,0.46375146349517843,0.5378844298597655,0.5427596036889333,0.546949680768967,0.5650081331277762,0.546856629378053,0.5505226204998183,0.5701495517403782,0.9132852732512968,0.891690060347463,0.5791190473379776,0.8461467819876253,0.6797486221980454,0.6879725894038007,0.7277634495174276,0.9263670229678195,-0.2443562779322079,0.7618147619450396,0.14056939839999905,0.8701859628100819,0.8343342006721159,0.8971331866284071,,0.2971177576421438,0.07248010239082878,0.01273185574040147,-0.13546571432689847,0.026646152785097472,-0.05420673030250124,0.10196808015391844,0.023585639093575535,0.1818345912848029,-0.1311139134789932,-0.06210367467012644,-0.14390462546795738,-0.8475408593027992,0.9131536187392116,-0.5219988701118274,0.775093336167922,0.8307405503988353,0.1564140113225583,0.10354449162474336,0.7736641083016825,0.8051090744193344,,0.7101989105769722,0.9214087799165407,0.8031833763451347,0.71341724374496,0.6907109210949806,0.8768371192936999,,0.7381891482175804,0.684247411401995,0.673702465103222,,,,0.6297809329448156,0.6384065621148739,0.6363436179381761,0.626594185602754,0.7092740672050162,0.7292584423629003,0.7046033669690499,0.680971224233889,0.7021509558745168,0.6982270240756626,0.6950684043708681,0.6860795799387582,0.6786552074600521,0.6790913021641407,0.6876985966862273,0.6948738499132259
LPC Overall Standard Deviation 9,-0.13856231176374073,0.7393829166752248,0.7239020207240373,0.5341115823312069,0.670907588559091,0.7202523162694588,0.7236709142906191,0.29076771766789045,0.789165093180814,0.5364401395907953,0.7152902920806696,0.19222352148742697,0.7524817276523503,0.70323786807492,0.7218310763712881,0.6279719379108181,0.7932658999889526,0.8850139842280983,0.881397153548647,0.9031147689711201,0.8787599476639311,0.8911792786359864,0.8996495901004294,0.9138610126631616,0.9166018443229569,0.9291708571450839,0.9206493624689954,0.9149675043573442,0.6694858741951643,0.8395013102844638,0.9481189845981259,0.9596331865932871,0.9699967381589686,0.9716062026648635,0.972852243138446,0.9831343290340959,1.0,,0.7115327355478557,0.7259390812483287,0.6868960646563739,0.6696873278444021,0.6523354891900217,0.775561405018369,0.5058687040742917,0.7276064439080888,0.47332386081369965,0.4957330873450081,0.5644249235875665,0.568878380497734,0.5727014096024093,0.5892613131952139,0.5726316107433956,0.575972325893244,0.5939213559565404,0.921316354852645,0.8806191613313971,0.5540486466030299,0.8626524253243859,0.6519709004389841,0.6596737514992426,0.7416658423171938,0.9327875700755173,-0.2594827543058883,0.7266728291141349,0.15690410998976212,0.8840934900436295,0.8507755354268408,0.9054253528640567,,0.2957916947833564,0.0629881335937764,0.008409604148055192,-0.1479362151591986,0.016583467336467976,-0.06582660694208854,0.07025037649588056,0.020966802624472466,0.16483310537133244,-0.11270635179068565,-0.06995872720011757,-0.15071663419801706,-0.8150259079562385,0.8987744872661833,-0.48205560537030223,0.7456829612891364,0.7943365984681747,0.14657253179254442,0.1131131761995979,0.753042170822115,0.7878814555656606,,0.6779751584495141,0.932733927610067,0.8219149082530008,0.733585806219082,0.711169336956174,0.8856810732751516,,0.7055000754314719,0.7038124609121911,0.6934184337776331,,,,0.6500399284137248,0.6585691026484221,0.6565295174171739,0.6468876003985395,0.7032078862538194,0.7260357143842179,0.7038272519085598,0.6882151503032212,0.7109406953417365,0.7042590730667393,0.6958228559952253,0.6879393081948051,0.6831514975327673,0.6782725270534193,0.6875869690128412,0.6927604187962983
LPC Overall Standard Deviation 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method of Moments Overall Standard Deviation 1,-0.03328375253474747,0.35861872862861394,0.42111761444426565,0.8075725243745661,0.2690497524580769,0.9559028978039092,0.9619177820338662,-0.08942343974624453,0.41727935936735516,0.19056242182240116,0.9623135185299356,-0.02727688731497169,0.3703455233580331,0.3232566309677959,0.3357579962008184,0.22225133425865135,0.4576364258839565,0.5534096140726038,0.5511291891036496,0.5910668046491224,0.5466498574563315,0.5840443926957519,0.5980628775865062,0.6163058475136283,0.6356200133343445,0.700567405239755,0.6647357384272873,0.6730349112723675,0.24457136258027307,0.48395326474660455,0.6762863177275311,0.7106693544308065,0.742550782659342,0.7340196809618122,0.7201031029189127,0.733786751684546,0.7115327355478557,,1.0,0.3280026469280331,0.308008599702479,0.29822694560819857,0.28498077140287886,0.4182130752104148,0.07545747381336632,0.9974250451811054,0.07329081906199929,0.0997413503127697,0.18474221582049363,0.19057653831933785,0.19560788613530955,0.217563322202153,0.19554614402629544,0.1999636266205465,0.22392481468563652,0.613315929650722,0.7212866606549613,0.8677331136839784,0.504347278899481,0.9146741841654412,0.9231569214563562,0.3662169065382918,0.6450962285058396,0.019272787383856304,0.9453698733095454,-0.006264578868682791,0.5319219902041177,0.4810708846475091,0.5832062644583469,,0.25178926888624187,0.08112510120881494,0.05557881981251926,-0.04389093508357175,0.24801748990738773,0.08960352329742875,0.1396534201876806,0.0946933294524657,0.312358592299406,-0.010045227080497795,-0.04827278797863338,-0.010322364356681058,-0.8529505694039387,0.8276200125796109,-0.6308344838959627,0.6017318724858577,0.8246376880598207,0.14758397630434975,0.10112097777563794,0.738375500808252,0.7773636060155272,,0.9638551362720975,0.6115023028113349,0.45043331273699044,0.40014747060204925,0.3424614566186648,0.610917596623928,,0.970531004488114,0.3386939603162587,0.3290983815572494,,,,0.289949352800369,0.2975400270843454,0.2957210212361793,0.28715755622535094,0.47889158770763796,0.5558743089556958,0.5546016873992182,0.5090839096300814,0.4656319192644742,0.46033750760911274,0.5255164549557615,0.5260928334002591,0.5096430071465757,0.539307909617383,0.5141076337838851,0.46536720518235497
