dataset,sources,accuracy,ID,Seed,Parameters
Cal500,Instrumental + Mixed,0.1527777777777778,41,40,4
Cal500,Instrumental + Mixed,0.1527777777777778,42,40,5
Cal500,Instrumental + Vocals,0.1388888888888889,41,40,6
Cal500,Instrumental + Vocals,0.125,42,40,7
Cal500,Mixed,0.18055555555555555,41,40,8
Cal500,Mixed,0.2222222222222222,42,40,9
Cal500,Mixed + Mixed,0.19444444444444445,41,40,10
Cal500,Mixed + Mixed,0.19444444444444445,42,40,11
Cal500,Mixed + Vocals,0.18055555555555555,41,40,12
Cal500,Mixed + Vocals,0.18055555555555555,42,40,13
Cal500,Vocals,0.1527777777777778,41,40,14
Cal500,Vocals,0.16666666666666666,42,40,15
Cal500,Vocals + Vocals,0.16666666666666666,41,40,16
Cal500,Vocals + Vocals,0.1388888888888889,42,40,17
Cal500,Instrumental,0.125,43,40,18
Cal500,Instrumental,0.16666666666666666,44,40,19
Cal500,Instrumental + Instrumental,0.16666666666666666,43,40,20
Cal500,Instrumental + Instrumental,0.1388888888888889,44,40,21
Cal500,Instrumental + Mixed,0.1388888888888889,43,40,22
Cal500,Instrumental + Mixed,0.16666666666666666,44,40,23
Cal500,Instrumental + Vocals,0.18055555555555555,43,40,24
Cal500,Instrumental + Vocals,0.1527777777777778,44,40,25
Cal500,Mixed,0.1388888888888889,43,40,26
Cal500,Mixed,0.16666666666666666,44,40,27
Cal500,Mixed + Mixed,0.16666666666666666,43,40,28
Cal500,Mixed + Mixed,0.1527777777777778,44,40,29
Cal500,Mixed + Vocals,0.18055555555555555,43,40,30
Cal500,Mixed + Vocals,0.18055555555555555,44,40,31
Cal500,Vocals,0.19444444444444445,43,40,32
Cal500,Vocals,0.18055555555555555,44,40,33
Cal500,Vocals + Vocals,0.1388888888888889,43,40,34
Cal500,Vocals + Vocals,0.1388888888888889,44,40,35
Cal500,Instrumental,0.125,51,50,0
Cal500,Instrumental,0.1111111111111111,52,50,1
Cal500,Instrumental + Instrumental,0.1111111111111111,51,50,2
Cal500,Instrumental + Instrumental,0.1111111111111111,52,50,3
Cal500,Instrumental + Mixed,0.20833333333333334,51,50,4
Cal500,Instrumental + Mixed,0.19444444444444445,52,50,5
Cal500,Instrumental + Vocals,0.16666666666666666,51,50,6
Cal500,Instrumental + Vocals,0.16666666666666666,52,50,7
Cal500,Mixed,0.2222222222222222,51,50,8
Cal500,Mixed,0.2361111111111111,52,50,9
Cal500,Mixed + Mixed,0.2361111111111111,51,50,10
Cal500,Mixed + Mixed,0.2222222222222222,52,50,11
Cal500,Mixed + Vocals,0.2777777777777778,51,50,12
Cal500,Mixed + Vocals,0.2777777777777778,52,50,13
Cal500,Vocals,0.19444444444444445,51,50,14
Cal500,Vocals,0.18055555555555555,52,50,15
Cal500,Vocals + Vocals,0.19444444444444445,51,50,16
Cal500,Vocals + Vocals,0.2361111111111111,52,50,17
Cal500,Instrumental,0.16666666666666666,53,50,18
Cal500,Instrumental,0.16666666666666666,54,50,19
Cal500,Instrumental + Instrumental,0.16666666666666666,53,50,20
Cal500,Instrumental + Instrumental,0.18055555555555555,54,50,21
Cal500,Instrumental + Mixed,0.2222222222222222,53,50,22
Cal500,Instrumental + Mixed,0.2222222222222222,54,50,23
Cal500,Instrumental + Vocals,0.2361111111111111,53,50,24
Cal500,Instrumental + Vocals,0.2222222222222222,54,50,25
Cal500,Mixed,0.1527777777777778,53,50,26
Cal500,Mixed,0.20833333333333334,54,50,27
Cal500,Mixed + Mixed,0.16666666666666666,53,50,28
Cal500,Mixed + Mixed,0.1527777777777778,54,50,29
Cal500,Mixed + Vocals,0.2638888888888889,53,50,30
Cal500,Mixed + Vocals,0.2638888888888889,54,50,31
Cal500,Vocals,0.25,53,50,32
Cal500,Vocals,0.25,54,50,33
Cal500,Vocals + Vocals,0.2361111111111111,53,50,34
Cal500,Vocals + Vocals,0.25,54,50,35
Cal500,Instrumental,0.1111111111111111,61,60,0
Cal500,Instrumental,0.1111111111111111,62,60,1
Cal500,Instrumental + Instrumental,0.1111111111111111,61,60,2
Cal500,Instrumental + Instrumental,0.1111111111111111,62,60,3
Cal500,Instrumental + Mixed,0.16666666666666666,61,60,4
Cal500,Instrumental + Mixed,0.16666666666666666,62,60,5
Cal500,Instrumental + Vocals,0.19444444444444445,61,60,6
Cal500,Instrumental + Vocals,0.19444444444444445,62,60,7
Cal500,Mixed,0.20833333333333334,61,60,8
Cal500,Mixed,0.18055555555555555,62,60,9
Cal500,Mixed + Mixed,0.20833333333333334,61,60,10
Cal500,Mixed + Mixed,0.20833333333333334,62,60,11
Cal500,Mixed + Vocals,0.2361111111111111,61,60,12
Cal500,Mixed + Vocals,0.2361111111111111,62,60,13
Cal500,Vocals,0.2638888888888889,61,60,14
Cal500,Vocals,0.2638888888888889,62,60,15
Cal500,Vocals + Vocals,0.2638888888888889,61,60,16
Cal500,Vocals + Vocals,0.2777777777777778,62,60,17
Cal500,Instrumental,0.125,63,60,18
Cal500,Instrumental,0.1527777777777778,64,60,19
Cal500,Instrumental + Instrumental,0.1388888888888889,63,60,20
Cal500,Instrumental + Instrumental,0.16666666666666666,64,60,21
Cal500,Instrumental + Mixed,0.2222222222222222,63,60,22
Cal500,Instrumental + Mixed,0.20833333333333334,64,60,23
Cal500,Instrumental + Vocals,0.16666666666666666,63,60,24
Cal500,Instrumental + Vocals,0.2222222222222222,64,60,25
Cal500,Mixed,0.1527777777777778,63,60,26
Cal500,Mixed,0.2222222222222222,64,60,27
Cal500,Mixed + Mixed,0.16666666666666666,63,60,28
Cal500,Mixed + Mixed,0.1527777777777778,64,60,29
Cal500,Mixed + Vocals,0.20833333333333334,63,60,30
Cal500,Mixed + Vocals,0.2361111111111111,64,60,31
Cal500,Vocals,0.2361111111111111,63,60,32
Cal500,Vocals,0.25,64,60,33
Cal500,Vocals + Vocals,0.2361111111111111,63,60,34
Cal500,Vocals + Vocals,0.2222222222222222,64,60,35
Cal500,Instrumental,0.1111111111111111,71,70,0
Cal500,Instrumental,0.125,72,70,1
Cal500,Instrumental + Instrumental,0.125,71,70,2
Cal500,Instrumental + Instrumental,0.125,72,70,3
Cal500,Instrumental + Mixed,0.1527777777777778,71,70,4
Cal500,Instrumental + Mixed,0.1527777777777778,72,70,5
Cal500,Instrumental + Vocals,0.1527777777777778,71,70,6
Cal500,Instrumental + Vocals,0.1388888888888889,72,70,7
Cal500,Mixed,0.125,71,70,8
Cal500,Mixed,0.1111111111111111,72,70,9
Cal500,Mixed + Mixed,0.1111111111111111,71,70,10
Cal500,Mixed + Mixed,0.1111111111111111,72,70,11
Cal500,Mixed + Vocals,0.16666666666666666,71,70,12
Cal500,Mixed + Vocals,0.16666666666666666,72,70,13
Cal500,Vocals,0.18055555555555555,71,70,14
Cal500,Vocals,0.16666666666666666,72,70,15
Cal500,Vocals + Vocals,0.18055555555555555,71,70,16
Cal500,Vocals + Vocals,0.1388888888888889,72,70,17
Cal500,Instrumental,0.125,73,70,18
Cal500,Instrumental,0.09722222222222222,74,70,19
Cal500,Instrumental + Instrumental,0.125,73,70,20
Cal500,Instrumental + Instrumental,0.1388888888888889,74,70,21
Cal500,Instrumental + Mixed,0.1388888888888889,73,70,22
Cal500,Instrumental + Mixed,0.1388888888888889,74,70,23
Cal500,Instrumental + Vocals,0.18055555555555555,73,70,24
Cal500,Instrumental + Vocals,0.125,74,70,25
Cal500,Mixed,0.16666666666666666,73,70,26
Cal500,Mixed,0.1111111111111111,74,70,27
Cal500,Mixed + Mixed,0.125,73,70,28
Cal500,Mixed + Mixed,0.16666666666666666,74,70,29
Cal500,Mixed + Vocals,0.20833333333333334,73,70,30
Cal500,Mixed + Vocals,0.18055555555555555,74,70,31
