,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.2738204956054688,0.027898453746690293,0.020902633666992188,0.002199195941720743,1,100.0,rbf,"{'C': 1, 'gamma': 100, 'kernel': 'rbf'}",0.2784313725490196,0.2755905511811024,0.2755905511811024,0.2755905511811024,0.2795275590551181,0.27694611702948896,0.0016960249525237994,34
1,0.8351659774780273,0.002455969014586409,0.01699967384338379,0.000632560578332995,1,10.0,rbf,"{'C': 1, 'gamma': 10, 'kernel': 'rbf'}",0.2980392156862745,0.2795275590551181,0.2755905511811024,0.2755905511811024,0.28346456692913385,0.2824424888065462,0.00832703364891986,29
2,0.6620726108551025,0.013219573831473411,0.016701316833496092,0.0003993741242344915,1,1.0,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.3764705882352941,0.3937007874015748,0.35826771653543305,0.3110236220472441,0.3937007874015748,0.3666327003242241,0.03073919080004185,20
3,0.39436044692993166,0.01811499438400882,0.01618218421936035,0.0007298051356566281,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.38823529411764707,0.41732283464566927,0.3700787401574803,0.3700787401574803,0.41338582677165353,0.39182028716998607,0.020365138517770397,9
4,0.31323933601379395,0.00883242764479378,0.016100645065307617,0.00020374326084534136,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.3607843137254902,0.35826771653543305,0.3543307086614173,0.4094488188976378,0.3661417322834646,0.36979465802068856,0.020193992945454195,13
5,0.26819415092468263,0.003874259618088164,0.01720404624938965,0.0010295331331632406,1,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.3607843137254902,0.38976377952755903,0.33070866141732286,0.4015748031496063,0.35039370078740156,0.366645051721476,0.025862876542779203,19
6,0.21882181167602538,0.0017198267868395528,0.017702054977416993,0.0031550392700831604,1,0.0001,rbf,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.2784313725490196,0.2755905511811024,0.2755905511811024,0.2755905511811024,0.2795275590551181,0.27694611702948896,0.0016960249525237994,34
7,0.2285831928253174,0.010389408641890571,0.01700425148010254,0.001305797510393628,1,0.0001,rbf,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.2784313725490196,0.2755905511811024,0.2755905511811024,0.2755905511811024,0.2795275590551181,0.27694611702948896,0.0016960249525237994,34
8,1.8610386371612548,0.047952298958514404,0.021700000762939452,0.0022283665408938994,10,100.0,rbf,"{'C': 10, 'gamma': 100, 'kernel': 'rbf'}",0.2784313725490196,0.2755905511811024,0.2755905511811024,0.2755905511811024,0.2795275590551181,0.27694611702948896,0.0016960249525237994,34
9,1.0994110107421875,0.027218203842827932,0.018301773071289062,0.0023573723370891803,10,10.0,rbf,"{'C': 10, 'gamma': 10, 'kernel': 'rbf'}",0.2980392156862745,0.2795275590551181,0.2755905511811024,0.2755905511811024,0.2795275590551181,0.28165508723174304,0.008379136143043557,30
10,0.8776800632476807,0.01375563410790126,0.017801809310913085,0.0011655338607518193,10,1.0,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.3411764705882353,0.3464566929133858,0.33858267716535434,0.29133858267716534,0.35826771653543305,0.3351644279759148,0.022933865743593188,25
11,0.8080803394317627,0.03221275867609176,0.015006637573242188,0.0007087608391630112,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.4235294117647059,0.3937007874015748,0.3779527559055118,0.38188976377952755,0.41338582677165353,0.3980917091245947,0.017710716606119784,7
