,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Classifier__SVC__estimator__C,param_Classifier__SVC__estimator__kernel,param_Scaler,param_Selector__max_features,param_Classifier__SVC__estimator__gamma,param_Classifier__SVC__estimator__coef0,param_Classifier__SVC__estimator__degree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,1.5529024600982666,0.02995923970744502,0.10713632901509602,0.004456294434063863,0.01,linear,MinMaxScaler(),4,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 4}",0.08705882352941176,0.25882352941176473,0.04941176470588235,0.13176470588235292,0.0911492685544769,5085
1,1.565330187479655,0.027170011371936625,0.11087632179260254,0.01125307740622681,0.01,linear,MinMaxScaler(),8,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 8}",0.11294117647058824,0.26588235294117646,0.04941176470588235,0.14274509803921567,0.09085183615236857,4955
2,1.568955898284912,0.005028095389259426,0.11620283126831055,0.01313561090840818,0.01,linear,MinMaxScaler(),12,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 12}",0.11294117647058824,0.26823529411764707,0.06588235294117648,0.14901960784313728,0.08645969430287478,4927
3,1.5642066796620686,0.051921454856205314,0.10143685340881348,0.001649324668100474,0.01,linear,MinMaxScaler(),16,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 16}",0.10823529411764705,0.27294117647058824,0.1223529411764706,0.16784313725490196,0.07453869408951669,4866
4,1.5852328141530354,0.019195393782692832,0.13305743535359701,0.007460579003261413,0.01,linear,MinMaxScaler(),20,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 20}",0.13647058823529412,0.24941176470588236,0.15294117647058825,0.1796078431372549,0.04981472786886405,4802
5,1.589572270711263,0.02542840454314295,0.10497752825419109,0.004453086000725916,0.01,linear,MinMaxScaler(),24,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 24}",0.17647058823529413,0.23058823529411765,0.2,0.20235294117647062,0.022155995124432205,4616
6,1.5649795532226562,0.015943037916298107,0.10914858182271321,0.011027213747897065,0.01,linear,MinMaxScaler(),28,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 28}",0.15058823529411763,0.2211764705882353,0.18588235294117647,0.18588235294117647,0.02881752638568446,4768
7,1.6011429627736409,0.04680600246895055,0.11019690831502278,0.006646518902006157,0.01,linear,MinMaxScaler(),32,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 32}",0.15529411764705883,0.2,0.2023529411764706,0.1858823529411765,0.021650468614654528,4766
8,1.6891896724700928,0.01752851533854193,0.08258954683939616,0.001481652860343561,0.01,linear,StandardScaler(),4,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': StandardScaler(), 'Selector__max_features': 4}",0.17882352941176471,0.25176470588235295,0.2164705882352941,0.21568627450980393,0.029783274582035335,4362
9,1.6811317602793376,0.010204678786589446,0.08929141362508138,0.0029756998204789704,0.01,linear,StandardScaler(),8,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': StandardScaler(), 'Selector__max_features': 8}",0.20470588235294118,0.2188235294117647,0.18588235294117647,0.20313725490196077,0.013493843556145291,4604
10,1.2792792320251465,0.5210629652543174,0.0906523863474528,0.006778005695695612,0.01,linear,StandardScaler(),12,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': StandardScaler(), 'Selector__max_features': 12}",0.24705882352941178,0.2023529411764706,0.21411764705882352,0.2211764705882353,0.018921314638140896,4188
