,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Classifier__SVC__estimator__C,param_Classifier__SVC__estimator__kernel,param_Scaler,param_Selector__max_features,param_Classifier__SVC__estimator__gamma,param_Classifier__SVC__estimator__coef0,param_Classifier__SVC__estimator__degree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.30125196774800617,0.10846155578460687,0.0582724412282308,0.020277280664586075,1.0,linear,MinMaxScaler(),2,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 2}",0.2217391304347826,0.13100436681222707,0.14410480349344978,0.16561610024681983,0.040043736492481295,2343
1,0.6494831244150797,0.20240141253839497,0.06650686264038086,0.008140536515657522,1.0,linear,MinMaxScaler(),4,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 4}",0.22608695652173913,0.2576419213973799,0.1615720524017467,0.2151003101069552,0.039982368879229284,1139
2,0.6331000328063965,0.1724803781980425,0.11335523923238118,0.04729834883465064,1.0,linear,MinMaxScaler(),6,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 6}",0.24782608695652175,0.25327510917030566,0.2663755458515284,0.255825580659452,0.007784569563655882,85
3,0.6364250977834066,0.11863326555557331,0.07438500722249348,0.013332544463304079,1.0,linear,MinMaxScaler(),8,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 8}",0.25217391304347825,0.25327510917030566,0.20087336244541484,0.2354407948863996,0.024446999780463424,331
4,0.6061656475067139,0.10574557244938917,0.08517972628275554,0.013631971730423601,1.0,linear,MinMaxScaler(),10,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 10}",0.23043478260869565,0.2445414847161572,0.23580786026200873,0.23692804252895386,0.005813253095043468,312
5,0.5561387538909912,0.1633939090554613,0.08517980575561523,0.018028841596658355,1.0,linear,MinMaxScaler(),12,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 12}",0.23043478260869565,0.24890829694323144,0.23580786026200873,0.23838364660464528,0.007758594779522878,297
6,0.5142965316772461,0.10721464693756783,0.06505338350931804,0.012855939264804384,1.0,linear,MinMaxScaler(),14,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 14}",0.26521739130434785,0.23580786026200873,0.27074235807860264,0.2572558698816531,0.01533284387510293,75
7,0.49299049377441406,0.1692532086281112,0.08582091331481934,0.02345126306276113,1.0,linear,MinMaxScaler(),16,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 16}",0.22608695652173913,0.2576419213973799,0.23580786026200873,0.23984557939370924,0.013194855914726923,279
8,0.5054990450541178,0.18863101005141084,0.07225553194681804,0.023210071852320376,1.0,linear,MinMaxScaler(),18,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 18}",0.2391304347826087,0.26200873362445415,0.22707423580786026,0.24273780140497436,0.014488262027943382,246
9,0.6671220461527506,0.08462060149514021,0.07662256558736165,0.004320476287735455,1.0,linear,MinMaxScaler(),20,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 20}",0.2608695652173913,0.28820960698689957,0.22270742358078602,0.25726219859502564,0.026862536839784297,73
10,0.4972081979115804,0.10939496697614935,0.09912673632303874,0.030450726457732977,1.0,linear,MinMaxScaler(),24,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 24}",0.21304347826086956,0.27510917030567683,0.24890829694323144,0.24568698183659263,0.02544039026839549,182
11,0.7399261792500814,0.04305077685105091,0.08148860931396484,0.009782605692163212,1.0,linear,StandardScaler(),2,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': StandardScaler(), 'Selector__max_features': 2}",0.13043478260869565,0.14410480349344978,0.13100436681222707,0.13518131763812416,0.006314140553755798,2538
12,0.7378808657328287,0.020662540506137302,0.0708758036295573,0.005410242031914359,1.0,linear,StandardScaler(),4,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': StandardScaler(), 'Selector__max_features': 4}",0.15217391304347827,0.1572052401746725,0.18777292576419213,0.16571735966078097,0.015730322316717428,2328
13,0.6944919427235922,0.01941512989772186,0.08411335945129395,0.013758892777565241,1.0,linear,StandardScaler(),6,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': StandardScaler(), 'Selector__max_features': 6}",0.20434782608695654,0.18340611353711792,0.2314410480349345,0.20639832921966964,0.01966370862571169,1378
14,0.6365999380747477,0.07761680789702594,0.07984399795532227,0.0024744501466374305,1.0,linear,StandardScaler(),8,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': StandardScaler(), 'Selector__max_features': 8}",0.21304347826086956,0.1965065502183406,0.2096069868995633,0.20638567179292452,0.007125080141450564,1382
15,0.6671095689137777,0.03497078721766154,0.0784912904103597,0.006044386166400175,1.0,linear,StandardScaler(),10,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': StandardScaler(), 'Selector__max_features': 10}",0.21739130434782608,0.18340611353711792,0.20087336244541484,0.20055692677678627,0.01387620018255108,1513
16,0.6811498006184896,0.0803057162618305,0.07880783081054688,0.010475035435033501,1.0,linear,StandardScaler(),12,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': StandardScaler(), 'Selector__max_features': 12}",0.20869565217391303,0.14410480349344978,0.2052401746724891,0.18601354344661733,0.029667512473381567,1748
17,0.701809803644816,0.009883622442647066,0.08034642537434895,0.00582737757320266,1.0,linear,StandardScaler(),14,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': StandardScaler(), 'Selector__max_features': 14}",0.23043478260869565,0.1703056768558952,0.18340611353711792,0.19471552433390293,0.02581736391250009,1608
18,0.6685624122619629,0.062406873974940796,0.08257166544596355,0.014117177782240644,1.0,linear,StandardScaler(),16,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': StandardScaler(), 'Selector__max_features': 16}",0.21739130434782608,0.18777292576419213,0.17903930131004367,0.1947345104740206,0.016412734497062664,1605
19,0.6481036345163981,0.05500093735921129,0.07739679018656413,0.006943434141022387,1.0,linear,StandardScaler(),18,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': StandardScaler(), 'Selector__max_features': 18}",0.21304347826086956,0.17903930131004367,0.17467248908296942,0.18891842288462754,0.01715188978775009,1703
20,0.599464495976766,0.026568396286788688,0.07607158025105794,0.008052646990243509,1.0,linear,StandardScaler(),20,,,,"{'Classifier__SVC__estimator__C': 1, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': StandardScaler(), 'Selector__max_features': 20}",0.20869565217391303,0.22270742358078602,0.18777292576419213,0.20639200050629705,0.014354671543407813,1380
