,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.7224596977233887,0.006164120831978518,0.020839691162109375,0.0026300613896288413,0.1,-10.0,1.0,sigmoid,"{'C': 0.1, 'coef0': -10, 'gamma': 1, 'kernel': 'sigmoid'}",0.17647058823529413,0.2047244094488189,0.20078740157480315,0.18503937007874016,0.18110236220472442,0.18962482630847616,0.011129180384098832,130
1,0.8361238002777099,0.02259890192320909,0.023611688613891603,0.005187833529506429,0.1,-10.0,0.1,sigmoid,"{'C': 0.1, 'coef0': -10, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.050980392156862744,0.051181102362204724,0.05905511811023622,0.05511811023622047,0.2795275590551181,0.09917245638412846,0.0902261541012442,247
2,0.8088349819183349,0.02096241055718906,0.02305116653442383,0.002131185442189638,0.1,-10.0,0.01,sigmoid,"{'C': 0.1, 'coef0': -10, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.050980392156862744,0.051181102362204724,0.09448818897637795,0.09448818897637795,0.09448818897637795,0.07712521228964027,0.021265311368398713,248
3,0.8216098785400391,0.030957408454644605,0.02234940528869629,0.003198013866687382,0.1,-10.0,0.001,sigmoid,"{'C': 0.1, 'coef0': -10, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.050980392156862744,0.051181102362204724,0.09448818897637795,0.09448818897637795,0.09448818897637795,0.07712521228964027,0.021265311368398713,248
4,0.8278570175170898,0.03313879243007406,0.022920513153076173,0.002852266464044344,0.1,-10.0,0.0001,sigmoid,"{'C': 0.1, 'coef0': -10, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.050980392156862744,0.051181102362204724,0.09448818897637795,0.09448818897637795,0.09448818897637795,0.07712521228964027,0.021265311368398713,248
5,0.8143409729003906,0.021913369651692757,0.023422765731811523,0.0021369273856228503,0.1,-10.0,0.0001,sigmoid,"{'C': 0.1, 'coef0': -10, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.050980392156862744,0.051181102362204724,0.09448818897637795,0.09448818897637795,0.09448818897637795,0.07712521228964027,0.021265311368398713,248
6,0.7185610771179199,0.018442991713880665,0.02379460334777832,0.0014274107260990355,0.1,-1.0,1.0,sigmoid,"{'C': 0.1, 'coef0': -1, 'gamma': 1, 'kernel': 'sigmoid'}",0.1411764705882353,0.11811023622047244,0.19291338582677164,0.15748031496062992,0.16929133858267717,0.1557943492357573,0.025284812948502572,166
7,0.7014546871185303,0.01735249260538174,0.02172222137451172,0.001828165616261569,0.1,-1.0,0.1,sigmoid,"{'C': 0.1, 'coef0': -1, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.22745098039215686,0.2559055118110236,0.1968503937007874,0.23228346456692914,0.2559055118110236,0.23367917245638412,0.021840868314906687,102
8,0.7855206489562988,0.019814862427024026,0.021098852157592773,0.0016786470709246031,0.1,-1.0,0.01,sigmoid,"{'C': 0.1, 'coef0': -1, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.1607843137254902,0.2283464566929134,0.11811023622047244,0.1377952755905512,0.3110236220472441,0.19121198085533425,0.07050794431523379,127
9,0.7637264728546143,0.022782685793859128,0.02138667106628418,0.0017329855960023352,0.1,-1.0,0.001,sigmoid,"{'C': 0.1, 'coef0': -1, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.050980392156862744,0.051181102362204724,0.09448818897637795,0.09448818897637795,0.09448818897637795,0.07712521228964027,0.021265311368398713,248
