,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.3551977157592774,0.024096741471190546,0.020000934600830078,0.0010961930703500178,1,100.0,rbf,"{'C': 1, 'gamma': 100, 'kernel': 'rbf'}",0.23529411764705882,0.2755905511811024,0.2755905511811024,0.23622047244094488,0.2795275590551181,0.2604446503010653,0.0202104632269046,34
1,0.8461034297943115,0.02886788456276592,0.017199993133544922,0.0007487107802805038,1,10.0,rbf,"{'C': 1, 'gamma': 10, 'kernel': 'rbf'}",0.23529411764705882,0.2795275590551181,0.2755905511811024,0.2755905511811024,0.2755905511811024,0.26831866604909677,0.01658252706735758,30
2,0.6681535243988037,0.025428050513291483,0.016402626037597658,0.0007973813421926966,1,1.0,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.3803921568627451,0.35826771653543305,0.3543307086614173,0.3188976377952756,0.38976377952755903,0.360330399876486,0.0245996856157949,1
3,0.4547261714935303,0.01836450177833345,0.017201900482177734,0.002991754501502259,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.3137254901960784,0.3661417322834646,0.3937007874015748,0.35039370078740156,0.35039370078740156,0.3548710822911842,0.025953139268019374,3
4,0.44046821594238283,0.012603908924824733,0.017104148864746094,0.0004854960326189834,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.23921568627450981,0.2677165354330709,0.2795275590551181,0.24015748031496062,0.30708661417322836,0.2667407750501775,0.025520747477864855,31
5,0.4454629421234131,0.009793149931865737,0.01650681495666504,0.00044799041595378427,1,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.13725490196078433,0.18110236220472442,0.11023622047244094,0.11023622047244094,0.2992125984251969,0.1676084607071175,0.0707194752098802,38
6,0.44231085777282714,0.010631318215321277,0.016600322723388673,0.0004883850674604923,1,0.0001,rbf,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.23529411764705882,0.1377952755905512,0.09448818897637795,0.1377952755905512,0.1377952755905512,0.14863362667901808,0.046463272983686736,39
7,0.448093318939209,0.022522071272544807,0.01670417785644531,0.0007475944391473345,1,0.0001,rbf,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.23529411764705882,0.1377952755905512,0.09448818897637795,0.1377952755905512,0.1377952755905512,0.14863362667901808,0.046463272983686736,39
8,1.8149769306182861,0.04364377703183602,0.020005512237548827,0.0007065797627597042,10,100.0,rbf,"{'C': 10, 'gamma': 100, 'kernel': 'rbf'}",0.2784313725490196,0.2755905511811024,0.2755905511811024,0.2755905511811024,0.2795275590551181,0.27694611702948896,0.0016960249525237994,26
9,1.0834546089172363,0.019640764563777842,0.01620030403137207,0.0007483919474121718,10,10.0,rbf,"{'C': 10, 'gamma': 10, 'kernel': 'rbf'}",0.2980392156862745,0.2795275590551181,0.2755905511811024,0.2755905511811024,0.2795275590551181,0.28165508723174304,0.008379136143043557,22
10,0.8680173873901367,0.01768156658722238,0.016101932525634764,0.0002022529749956508,10,1.0,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.34901960784313724,0.33858267716535434,0.33858267716535434,0.29133858267716534,0.3661417322834646,0.33673305542689513,0.0248327606282826,10
