"",Vocal acc compared to mixed,Instrumental acc compared to mixed,Instrumentals + Vocals acc compared to mixed,Instrumental + Mixed acc compared to mixed,Mixed + Vocals acc compared to Mixed
Vocal skew,-0.6047298852556995,-0.8388197685213583,-0.6254710767321039,-0.8730271265390817,-0.5791634059728713
Vocal mean,-0.20819456991506105,-0.12015400135462814,0.0706043423299126,-0.6834976134557119,0.20971038654361188
Vocal STD,-0.6188953735450733,-0.8354095733517258,-0.8585634729078847,-0.2853592115018592,-0.898442755085353
Instrumental Skew,0.9712552352951165,0.895834681413029,0.9374370722519401,0.6364450790520084,0.8156619032363853
Instrumental Mean,-0.18394836534335468,-0.5510929854058257,-0.4968197235819171,-0.09424855569906895,-0.6199486052761793
Instrumental STD,-0.16229505359530286,-0.5793393515526363,-0.42724217775242807,-0.3050838462954566,-0.5355717917014465
Mixed Skew,0.928350091659682,0.9820617560929822,0.9443697948484031,0.7457317717007992,0.8531645421583458
